feature,RI_lower_limit,RI_upper_limit,CI_for_lower_limit,CI_for_upper_limit,valid_CI_lower_limit,valid_CI_upper_limit
Pic#VoicedSegmentsPerSec,-1.7200058477890328,2.138758945850018,"(-1.8283961783257126, -1.7185545695449105)","(1.8525022241053761, 2.1375253106605725)",True,True
Pic#MeanVoicedSegmentLengthSec,-1.6688507109215274,2.2938340312891574,"(-1.8388155870932457, -1.6677885465358733)","(2.023707966485051, 2.2749737148530014)",True,True
Pic#StddevVoicedSegmentLengthSec,-1.6509967731667112,2.306140025275652,"(-1.7586126671262563, -1.6513717291017558)","(2.0441287612892483, 2.305515730228081)",True,True
Pic#MeanUnvoicedSegmentLength,-1.4559347230019082,2.2635253566294957,"(-1.568153589841341, -1.4565498211404946)","(1.9353674498305073, 2.188859005286715)",True,True
Pic#StddevUnvoicedSegmentLength,-1.4191177038316163,2.322800561161637,"(-1.533446105315149, -1.419016532483253)","(2.034128425878947, 2.295813108430474)",True,True
Pic#meanF0,-1.3608424165113207,2.254764265450081,"(-1.4429101901956354, -1.3591977742844683)","(1.9444342264695453, 2.2141293553916253)",True,True
Pic#stdevF0,-1.4413993600591701,2.537499504642734,"(-1.5457971978953398, -1.4414338701254876)","(2.189101185689794, 2.5375954834002172)",True,True
Pic#hnr,-1.9357246252422073,1.9155465407559475,"(-2.264541747920116, -1.9359492968417835)","(1.702308487543073, 1.9106989179384364)",True,True
Pic#localJitter,-1.3421369859005594,2.58255400189731,"(-1.4334781606994729, -1.3437530107378877)","(2.2037548435797287, 2.586622118496801)",True,True
Pic#localabsoluteJitter,-1.5983649684320793,2.250124385478757,"(-1.688863328056127, -1.5940899497265972)","(1.9699377999910725, 2.2426007939164805)",True,True
Pic#rapJitter,-1.2448049171747821,2.6031742150424217,"(-1.3191250641322374, -1.2435929444419653)","(2.338558056313799, 2.6145564907391727)",True,True
Pic#ppq5Jitter,-1.3048781233461715,2.5186392040032533,"(-1.3839245275625516, -1.303396385818268)","(1.9491206344948369, 2.51919224562607)",True,True
Pic#ddpJitter,-1.2448049171747835,2.603174215042427,"(-1.31912506413223, -1.2435929444419689)","(2.3385580563137975, 2.6145564907391794)",True,True
Pic#localShimmer,-1.559208555755359,2.2573650116300725,"(-1.7326911218094294, -1.559741205676175)","(2.076572873374658, 2.257496338851719)",True,True
Pic#localdbShimmer,-1.6118242000805225,2.1251151930446928,"(-1.800807672817564, -1.6135253113264345)","(1.984723127839657, 2.1295333533258343)",True,True
Pic#apq3Shimmer,-1.471979906936011,2.302459666478061,"(-1.6123252830871246, -1.4714285087497696)","(2.1592657268866016, 2.3022767281594514)",True,True
Pic#aqpq5Shimmer,-1.4436876912319279,2.369815547459797,"(-1.5455204846388468, -1.4442292991880712)","(2.117586314945012, 2.366766435501617)",True,True
Pic#apq11Shimmer,-1.46187421475475,2.3555330604215308,"(-1.580741578987198, -1.461749579147142)","(1.9601312692475392, 2.3573473770725735)",True,True
Pic#ddaShimmer,-1.4719799069360109,2.302459666478059,"(-1.6123252830871244, -1.4714285087497694)","(2.1592657268866, 2.3022767281594536)",True,True
Pic#f1_mean,-1.6977053929232127,2.299183975815553,"(-1.887178545570531, -1.697404084270374)","(1.9281507178304467, 2.2974674648625864)",True,True
Pic#f2_mean,-2.0407320311440684,1.9502841489261038,"(-2.2912229022648427, -2.0412339954642684)","(1.7963582723433509, 1.947088325036561)",True,True
Pic#f3_mean,-2.0128719824004677,1.8759107484827144,"(-2.3265343675689567, -2.010705821484938)","(1.6304876773266912, 1.8754496798105587)",True,True
Pic#f4_mean,-1.9479594925133774,1.9797342612437763,"(-2.1800106228048968, -1.954675361216612)","(1.8200184973173086, 1.9752578257566011)",True,True
Pic#f1_median,-2.0129109666535716,1.9874159534900326,"(-2.2941653675304474, -2.0094229928744283)","(1.734789136147132, 1.9863919774439416)",True,True
Pic#f2_median,-2.1230689728900254,2.073676548596972,"(-2.358716435118885, -2.122258605285709)","(1.7366772246089897, 2.0511276682961586)",True,True
Pic#f3_median,-2.0323022395255257,1.8286419424815101,"(-2.306806454017769, -2.0164252280757236)","(1.6254789723159533, 1.824189596245004)",True,True
Pic#f4_median,-1.8976715104660227,2.156332540737225,"(-2.2258255160862728, -1.8997547491657454)","(1.7834279864753777, 2.1504664071271478)",True,True
Pic#speechrate(nsyll / dur),-1.9817854277220144,1.972903811611109,"(-2.1400046589299344, -1.9826014852269909)","(1.6961508635380562, 1.9734968773103654)",True,True
Pic#articulation rate(nsyll / phonationtime),-1.8999783232254273,2.0645189363184446,"(-2.092310679936091, -1.8999351311689803)","(1.7407497014215991, 2.057775486654391)",True,True
Pic#ASD(speakingtime / nsyll),-1.7049181867861323,2.1132289483928486,"(-1.8464798756732146, -1.7040518459487337)","(1.8455237408241538, 2.112672637879303)",True,True
Pic#mean_pause_dur,-1.3519652584336666,2.324610982005596,"(-1.4641066994192704, -1.3519652584336666)","(2.048924145222327, 2.307334019698216)",True,True
Pic#mean_speech_dur,-0.7825834192161182,1.4723795500527235,"(-0.8535568159155795, -0.7790701578084056)","(1.21620605080101, 1.466829296396254)",True,True
Pic#silence_rate (silencetime/dur),-1.741882462320871,2.1878221648683907,"(-1.8819850006473378, -1.7385105533553395)","(1.8981667279784804, 2.1848641812919154)",True,True
Pic#silence_speech_ratio,-2.474713982303091,0.8867563013859819,"(-2.474713982303091, -2.474713982303091)","(0.841843413561259, 0.8827184238290718)",True,True
Pic#mean_sil_count,-1.9183642481882752,2.0933338255604457,"(-2.2085575457006486, -1.9172486004290819)","(1.7007260864853209, 2.0928332537243626)",True,True
Pic#content_density,-1.0908399814510812,2.1025271899320566,"(-1.1593748870528184, -1.0905227385371745)","(1.8222959493146211, 2.1025271899320566)",True,True
Pic#idea_density,-1.9950117240951102,1.776263229539574,"(-2.3213524447990306, -1.9950117240951102)","(1.5990262942721691, 1.776263229539574)",True,True
Pic#honore_statistic,-1.1014072993785393,2.499259448972732,"(-1.1683091945128732, -1.102253084018855)","(1.9586771691121825, 2.499259448972732)",True,True
Pic#brunet_index,-2.0110190943173705,1.9077008756863227,"(-2.1574638535978696, -2.0110190943173705)","(1.748622685893762, 1.904746221606547)",True,True
Pic#type_token_ratio,-1.7136375928853427,2.1565615639601803,"(-1.8763506198945121, -1.7129933760259417)","(1.9190280313219958, 2.1565615639601803)",True,True
Pic#polarity,-1.6989240809781694,2.882891013031775,"(-1.9492666393896092, -1.6865457599774212)","(2.1690595115908025, 2.882891013031775)",True,True
Pic#repeat_ratio,-2.0554746696939956,1.870609073966865,"(-2.21151171917664, -2.0510367194077643)","(1.6809740783555513, 1.866250462773125)",True,True
Pic#mean_coher_sentence,-1.8601211072966406,1.9761916262302286,"(-2.162671486293921, -1.8603250620334089)","(1.7396438729142583, 1.9752991047170518)",True,True
Pic#variability_coher_sentence,-1.0207161286069482,2.2683935405726254,"(-1.0207161286069482, -1.0207161286069482)","(1.9288123331741778, 2.2570981451636243)",True,True
Pic#mean_coher_14tokens,-2.028677969664187,1.8539775277629413,"(-2.1427356040938785, -2.0269314987667113)","(1.6944993602318563, 1.8565094017438106)",True,True
Pic#variability_coher_14tokens,-0.9962951601368609,2.2500229703493475,"(-0.9962951601368609, -0.9962951601368609)","(1.9881922366950684, 2.248320738278292)",True,True
Pic#1st_pronouns_ratio,-0.48816042773528956,2.97576477547665,"(-0.48816042773528956, -0.48816042773528956)","(2.3633045291267916, 2.9794586439951427)",True,True
Pic#ref_chain_ratio,-2.0725773080656564,1.922768078899036,"(-2.0725773080656564, -2.0725773080656564)","(1.7230008095507992, 1.922768078899036)",True,True
